Pohlavi,Vek,Dosazeny_stupen_vzdelani,Obecny_studijni_obor(typ_skoly),Obecny_pracovni_obor,Administrativa,Doprava,Finance,IT,Kultura_a_sport,Management,Obchod,Pravo_obrana_a_ochrana,Stavebnictvi,Veda_a_vyzkum,Vychova_a_vzdelavani,Vyroba_a_provoz,Sluzby,Zdravotnictvi,Zemedelstvi_a_lesnictvi
Zena,20,Vyssi_odborne,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Muz,25,Vysokoskolske_magisterske_inzenyrske,SO_Informatika_a_management,PO_Informacni_technologie,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Muz,23,Stredoskolske_s_maturitou,SO_Elektrotechnika_technika_mechanika_prumysl,PO_Stavebnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01,0.01
Zena,20,Vysokoskolske_magisterske_inzenyrske,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Muz,43,Vysokoskolske_magisterske_inzenyrske,SO_Filosofie_politologie_psychologie_historie_sociologie_verejnasprava_a_ostatni_hum_a_soc_obory,PO_Veda_a_vyzkum,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,0.01
Zena,19,Stredoskolske_s_maturitou,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Muz,30,Stredoskolske_s_maturitou,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Muz,18,Vyuceni_nebo_SS_bez_maturity,SO_Ostatni_nezaraditelna_remesla,PO_Vyroba_a_provoz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01
Zena,48,Vysokoskolske_magisterske_inzenyrske,SO_Pedagogika_ucitelstvi_telovychova,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
Zena,46,Vysokoskolske_bakalarske,SO_Zdravotnictvi_medicina_veterina,PO_Zdravotnictvi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01
